INE_ID,year,concelho,enrolled,voters,abstention_%,blank_votes,null_votes,party_initials,party_type,votes,votes_%,number_mandates,candidate_name,gender,position_ballot,problems_ballot_order
101,2009,ÁGUEDA,43870,26744,39.0380670162,454,253,PS,,14569,55.9549871337,4,Gil Nadais Resende Da Fonseca,male,,
101,2009,ÁGUEDA,43870,26744,39.0380670162,454,253,PPD/PSD,,9133,35.0770057994,3,Manuel De Castro Azevedo,male,,
101,2009,ÁGUEDA,43870,26744,39.0380670162,454,253,PND,,105,0.40327226639,0,Alexandra Isabel Ferreira Abrantes,female,,
101,2009,ÁGUEDA,43870,26744,39.0380670162,454,253,PCP-PEV,,509,1.95491031993,0,Nelson Manuel Nunes Leal,male,,
101,2009,ÁGUEDA,43870,26744,39.0380670162,454,253,B.E.,,342,1.31351538196,0,Vítor Manuel Aguiar Gomes,male,,
101,2009,ÁGUEDA,43870,26744,39.0380670162,454,253,CDS-PP,,1379,5.29630909859,0,José Carlos Esmeraldo Dos Santos,male,,
102,2009,ALBERGARIA-A-VELHA,22175,13506,39.0935738444,218,149,PCP-PEV,,245,1.86467767714,0,Bruno Miguel Alves Bento,male,,
102,2009,ALBERGARIA-A-VELHA,22175,13506,39.0935738444,218,149,CDS-PP,,4378,33.3206484512,2,António Augusto Amaral Loureiro E Santos,male,,
102,2009,ALBERGARIA-A-VELHA,22175,13506,39.0935738444,218,149,PPD/PSD,,6452,49.1057158079,4,João Agostinho Pinto Pereira,male,,
102,2009,ALBERGARIA-A-VELHA,22175,13506,39.0935738444,218,149,PS,,1836,13.9736661846,1,Jesus Manuel Vidinha Tomás,male,,
102,2009,ALBERGARIA-A-VELHA,22175,13506,39.0935738444,218,149,B.E.,,228,1.73529187914,0,Américo Bastos Rodrigues Da Silva,male,,
103,2009,ANADIA,28871,16569,42.6102317204,397,211,CDS-PP,,1545,9.67984462126,0,Maria Do Céu Anjos Simões H. Castelo-Branco,female,,
103,2009,ANADIA,28871,16569,42.6102317204,397,211,PCP-PEV,,802,5.02474782282,0,José Francisco Paixão Correia,male,,
103,2009,ANADIA,28871,16569,42.6102317204,397,211,PS,,4165,26.094856212,2,Lino Jorge Cerveira Pintado,male,,
103,2009,ANADIA,28871,16569,42.6102317204,397,211,PPD/PSD,,9449,59.2005513439,5,Litério Augusto Marques,male,,
104,2009,AROUCA,21432,15354,28.359462486,209,234,PPD/PSD,,3022,20.2669170411,2,Manuel Artur De Almeida Miler,male,,
104,2009,AROUCA,21432,15354,28.359462486,209,234,PS,,8985,60.2575279995,5,José Artur Tavares Neves,male,,
104,2009,AROUCA,21432,15354,28.359462486,209,234,PCP-PEV,,256,1.71685332976,0,Francisco Manuel Da Cunha Gonçalves,male,,
104,2009,AROUCA,21432,15354,28.359462486,209,234,CDS-PP,,1482,9.93897122929,0,José Maria Costa Gomes,male,,
104,2009,AROUCA,21432,15354,28.359462486,209,234,UPA,,1166,7.81973040038,0,Vítor Fernando Gomes Brandão,male,,
105,2009,AVEIRO,67400,35776,46.9198813056,1067,489,B.E.,,1821,5.32144944477,0,Catarina Sofia Esteves Antunes Morais Gomes,female,,
105,2009,AVEIRO,67400,35776,46.9198813056,1067,489,PS,,11865,34.6727060199,3,José Da Cruz Costa,male,,
105,2009,AVEIRO,67400,35776,46.9198813056,1067,489,PPD/PSD.CDS-PP,,19228,56.1893629456,6,Élio Manuel Delgado Da Maia,male,,
105,2009,AVEIRO,67400,35776,46.9198813056,1067,489,PCP-PEV,,1306,3.81648158971,0,António Manuel Brito Moreira,male,,
106,2009,CASTELO DE PAIVA,14973,11779,21.3317304481,98,118,CDS-PP,,320,2.76744789415,0,Paulo Fernando Nogueira Martel Da Silva,male,,
106,2009,CASTELO DE PAIVA,14973,11779,21.3317304481,98,118,B.E.,,146,1.2626481017,0,Bruno Sérgio Gomes Soares,male,,
106,2009,CASTELO DE PAIVA,14973,11779,21.3317304481,98,118,PCP-PEV,,97,0.838882642913,0,Manuel Da Rocha Vieira,male,,
106,2009,CASTELO DE PAIVA,14973,11779,21.3317304481,98,118,PPD/PSD,,5489,47.4703796593,3,Paulo Ramalheira Teixeira,male,,
106,2009,CASTELO DE PAIVA,14973,11779,21.3317304481,98,118,PS,,5511,47.660641702,4,Gonçalo Fernando Da Rocha De Jesus,male,,
107,2009,ESPINHO,31544,20637,34.5770986558,444,263,PS,,7930,39.7892624185,3,José Mota,male,,
107,2009,ESPINHO,31544,20637,34.5770986558,444,263,PPD/PSD,,8029,40.2860010035,4,Pinto Moreira,male,,
107,2009,ESPINHO,31544,20637,34.5770986558,444,263,B.E.,,711,3.56748620171,0,Carlos Alberto Silva,male,,
107,2009,ESPINHO,31544,20637,34.5770986558,444,263,CDS-PP,,1904,9.5534370296,0,Marques Baptista,male,,
107,2009,ESPINHO,31544,20637,34.5770986558,444,263,PCP-PEV,,1356,6.80381334671,0,Fausto Neves,male,,
108,2009,ESTARREJA,25139,14161,43.6691992522,232,187,PS,,4041,29.4061999709,2,Fernando Manuel Mendonça Albergaria Matos,male,,
108,2009,ESTARREJA,25139,14161,43.6691992522,232,187,PPD/PSD.CDS-PP,,9084,66.1039150051,5,José Eduardo Alves Valente De Matos,male,,
108,2009,ESTARREJA,25139,14161,43.6691992522,232,187,PCP-PEV,,617,4.48988502401,0,António Manuel De Figueiredo Vidal,male,,
109,2009,SANTA MARIA DA FEIRA,121624,79089,34.9725383148,1351,787,PS,,32069,41.6745721303,5,Alcides Alves Branco De Carvalho,male,,
109,2009,SANTA MARIA DA FEIRA,121624,79089,34.9725383148,1351,787,PPD/PSD,,38261,49.7212511858,6,Alfredo Oliveira Henriques,male,,
