INE_ID,Concelho,Inscritos,Votantes,Brancos,Nulos,Votos,Sigla,Mandatos,Abstention (%),year
101,ÁGUEDA,43870.0,26744.0,454.0,253.0,14569,PS,4.0,39.0380670162,2009
101,ÁGUEDA,43870.0,26744.0,454.0,253.0,9133,PPD/PSD,3.0,39.0380670162,2009
101,ÁGUEDA,43870.0,26744.0,454.0,253.0,105,PND,0.0,39.0380670162,2009
101,ÁGUEDA,43870.0,26744.0,454.0,253.0,509,PCP-PEV,0.0,39.0380670162,2009
101,ÁGUEDA,43870.0,26744.0,454.0,253.0,342,B.E.,0.0,39.0380670162,2009
101,ÁGUEDA,43870.0,26744.0,454.0,253.0,1379,CDS-PP,0.0,39.0380670162,2009
102,ALBERGARIA-A-VELHA,22175.0,13506.0,218.0,149.0,245,PCP-PEV,0.0,39.0935738444,2009
102,ALBERGARIA-A-VELHA,22175.0,13506.0,218.0,149.0,4378,CDS-PP,2.0,39.0935738444,2009
102,ALBERGARIA-A-VELHA,22175.0,13506.0,218.0,149.0,6452,PPD/PSD,4.0,39.0935738444,2009
102,ALBERGARIA-A-VELHA,22175.0,13506.0,218.0,149.0,1836,PS,1.0,39.0935738444,2009
102,ALBERGARIA-A-VELHA,22175.0,13506.0,218.0,149.0,228,B.E.,0.0,39.0935738444,2009
103,ANADIA,28871.0,16569.0,397.0,211.0,1545,CDS-PP,0.0,42.6102317204,2009
103,ANADIA,28871.0,16569.0,397.0,211.0,802,PCP-PEV,0.0,42.6102317204,2009
103,ANADIA,28871.0,16569.0,397.0,211.0,4165,PS,2.0,42.6102317204,2009
103,ANADIA,28871.0,16569.0,397.0,211.0,9449,PPD/PSD,5.0,42.6102317204,2009
104,AROUCA,21432.0,15354.0,209.0,234.0,3022,PPD/PSD,2.0,28.359462486,2009
104,AROUCA,21432.0,15354.0,209.0,234.0,8985,PS,5.0,28.359462486,2009
104,AROUCA,21432.0,15354.0,209.0,234.0,256,PCP-PEV,0.0,28.359462486,2009
104,AROUCA,21432.0,15354.0,209.0,234.0,1482,CDS-PP,0.0,28.359462486,2009
104,AROUCA,21432.0,15354.0,209.0,234.0,1166,UPA,0.0,28.359462486,2009
105,AVEIRO,67400.0,35776.0,1067.0,489.0,1821,B.E.,0.0,46.9198813056,2009
105,AVEIRO,67400.0,35776.0,1067.0,489.0,11865,PS,3.0,46.9198813056,2009
105,AVEIRO,67400.0,35776.0,1067.0,489.0,19228,PPD/PSD.CDS-PP,6.0,46.9198813056,2009
105,AVEIRO,67400.0,35776.0,1067.0,489.0,1306,PCP-PEV,0.0,46.9198813056,2009
106,CASTELO DE PAIVA,14973.0,11779.0,98.0,118.0,320,CDS-PP,0.0,21.3317304481,2009
106,CASTELO DE PAIVA,14973.0,11779.0,98.0,118.0,146,B.E.,0.0,21.3317304481,2009
106,CASTELO DE PAIVA,14973.0,11779.0,98.0,118.0,97,PCP-PEV,0.0,21.3317304481,2009
106,CASTELO DE PAIVA,14973.0,11779.0,98.0,118.0,5489,PPD/PSD,3.0,21.3317304481,2009
106,CASTELO DE PAIVA,14973.0,11779.0,98.0,118.0,5511,PS,4.0,21.3317304481,2009
107,ESPINHO,31544.0,20637.0,444.0,263.0,7930,PS,3.0,34.5770986558,2009
107,ESPINHO,31544.0,20637.0,444.0,263.0,8029,PPD/PSD,4.0,34.5770986558,2009
107,ESPINHO,31544.0,20637.0,444.0,263.0,711,B.E.,0.0,34.5770986558,2009
107,ESPINHO,31544.0,20637.0,444.0,263.0,1904,CDS-PP,0.0,34.5770986558,2009
107,ESPINHO,31544.0,20637.0,444.0,263.0,1356,PCP-PEV,0.0,34.5770986558,2009
108,ESTARREJA,25139.0,14161.0,232.0,187.0,4041,PS,2.0,43.6691992522,2009
108,ESTARREJA,25139.0,14161.0,232.0,187.0,9084,PPD/PSD.CDS-PP,5.0,43.6691992522,2009
108,ESTARREJA,25139.0,14161.0,232.0,187.0,617,PCP-PEV,0.0,43.6691992522,2009
109,SANTA MARIA DA FEIRA,121624.0,79089.0,1351.0,787.0,32069,PS,5.0,34.9725383148,2009
109,SANTA MARIA DA FEIRA,121624.0,79089.0,1351.0,787.0,38261,PPD/PSD,6.0,34.9725383148,2009
109,SANTA MARIA DA FEIRA,121624.0,79089.0,1351.0,787.0,1940,B.E.,0.0,34.9725383148,2009
109,SANTA MARIA DA FEIRA,121624.0,79089.0,1351.0,787.0,1933,PCP-PEV,0.0,34.9725383148,2009
109,SANTA MARIA DA FEIRA,121624.0,79089.0,1351.0,787.0,2748,CDS-PP,0.0,34.9725383148,2009
110,ÍLHAVO,33876.0,16102.0,318.0,153.0,3651,PS,2.0,52.4678238281,2009
110,ÍLHAVO,33876.0,16102.0,318.0,153.0,422,B.E.,0.0,52.4678238281,2009
110,ÍLHAVO,33876.0,16102.0,318.0,153.0,841,CDS-PP,0.0,52.4678238281,2009
110,ÍLHAVO,33876.0,16102.0,318.0,153.0,485,PCP-PEV,0.0,52.4678238281,2009
110,ÍLHAVO,33876.0,16102.0,318.0,153.0,10232,PPD/PSD,5.0,52.4678238281,2009
111,MEALHADA,18572.0,10639.0,311.0,149.0,6517,PS,5.0,42.7148395434,2009
111,MEALHADA,18572.0,10639.0,311.0,149.0,2937,PPD/PSD,2.0,42.7148395434,2009
111,MEALHADA,18572.0,10639.0,311.0,149.0,725,PCP-PEV,0.0,42.7148395434,2009
112,MURTOSA,9842.0,5133.0,83.0,63.0,83,PCP-PEV,0.0,47.845966267,2009
112,MURTOSA,9842.0,5133.0,83.0,63.0,3403,PPD/PSD,4.0,47.845966267,2009
112,MURTOSA,9842.0,5133.0,83.0,63.0,1389,PS,1.0,47.845966267,2009
