INE_ID,Concelho,Inscritos,Votantes,Brancos,Nulos,Sigla,Votos,Votos (%),Mandatos,Tipo,Abstention (%)
1401,ABRANTES,35075,18210,889.0,630,B.E.,1186.0,"7,11",0.0,Partido,48.0826799715
1401,ABRANTES,35075,18210,889.0,630,CDS-PP,1090.0,"6,53",0.0,Partido,48.0826799715
1401,ABRANTES,35075,18210,889.0,630,PPD/PSD,3393.0,"20,33",1.0,Partido,48.0826799715
1401,ABRANTES,35075,18210,889.0,630,PS,8620.0,"51,64",5.0,Partido,48.0826799715
1401,ABRANTES,35075,18210,889.0,630,PCP-PEV,2402.0,"14,39",1.0,Coligação,48.0826799715
101,ÁGUEDA,43763,23373,1040.0,556,PS,13715.0,"62,98",5.0,Partido,46.5918698444
101,ÁGUEDA,43763,23373,1040.0,556,PCP-PEV,918.0,"4,22",0.0,Coligação,46.5918698444
101,ÁGUEDA,43763,23373,1040.0,556,PPD/PSD.CDS-PP,7144.0,"32,81",2.0,Coligação,46.5918698444
901,AGUIAR DA BEIRA,6648,4375,71.0,89,PPD/PSD,1955.0,"46,38",2.0,Partido,34.1907340554
901,AGUIAR DA BEIRA,6648,4375,71.0,89,PCP-PEV,33.0,"0,78",0.0,Coligação,34.1907340554
901,AGUIAR DA BEIRA,6648,4375,71.0,89,miupnt,2227.0,"52,84",3.0,Grupos Cidadãos Eleitores,34.1907340554
701,ALANDROAL,5174,3993,39.0,43,B.E.,57.0,"1,46",0.0,Partido,22.8256667955
701,ALANDROAL,5174,3993,39.0,43,PPD/PSD,146.0,"3,73",0.0,Partido,22.8256667955
701,ALANDROAL,5174,3993,39.0,43,PS,698.0,"17,85",1.0,Partido,22.8256667955
701,ALANDROAL,5174,3993,39.0,43,PCP-PEV,2172.0,"55,54",3.0,Coligação,22.8256667955
701,ALANDROAL,5174,3993,39.0,43,DITA,838.0,"21,43",1.0,Grupos Cidadãos Eleitores,22.8256667955
102,ALBERGARIA-A-VELHA,22811,13110,387.0,275,B.E.,203.0,"1,63",0.0,Partido,42.5277278506
102,ALBERGARIA-A-VELHA,22811,13110,387.0,275,CDS-PP,5701.0,"45,8",4.0,Partido,42.5277278506
102,ALBERGARIA-A-VELHA,22811,13110,387.0,275,PPD/PSD,4858.0,"39,03",3.0,Partido,42.5277278506
102,ALBERGARIA-A-VELHA,22811,13110,387.0,275,PS,1307.0,"10,5",0.0,Partido,42.5277278506
102,ALBERGARIA-A-VELHA,22811,13110,387.0,275,PCP-PEV,379.0,"3,04",0.0,Coligação,42.5277278506
801,ALBUFEIRA,32890,13488,738.0,421,PPD/PSD,4847.0,"39,31",3.0,Partido,58.9905746427
801,ALBUFEIRA,32890,13488,738.0,421,PS,4284.0,"34,75",3.0,Partido,58.9905746427
801,ALBUFEIRA,32890,13488,738.0,421,PCP-PEV,1317.0,"10,68",0.0,Coligação,58.9905746427
801,ALBUFEIRA,32890,13488,738.0,421,CDS-PP.MPT.PPM,347.0,"2,81",0.0,Coligação,58.9905746427
801,ALBUFEIRA,32890,13488,738.0,421,V.I.V.A.,1534.0,"12,44",1.0,Grupos Cidadãos Eleitores,58.9905746427
1501,ALCÁCER DO SAL,11288,6767,183.0,159,B.E.,199.0,"3,1",0.0,Partido,40.0513819986
1501,ALCÁCER DO SAL,11288,6767,183.0,159,CDS-PP,158.0,"2,46",0.0,Partido,40.0513819986
1501,ALCÁCER DO SAL,11288,6767,183.0,159,PPD/PSD,227.0,"3,53",0.0,Partido,40.0513819986
1501,ALCÁCER DO SAL,11288,6767,183.0,159,PS,2215.0,"34,47",3.0,Partido,40.0513819986
1501,ALCÁCER DO SAL,11288,6767,183.0,159,PCP-PEV,3626.0,"56,44",4.0,Coligação,40.0513819986
1402,ALCANENA,12809,7440,224.0,246,PS,3176.0,"45,57",4.0,Partido,41.9158404247
1402,ALCANENA,12809,7440,224.0,246,PCP-PEV,514.0,"7,37",0.0,Coligação,41.9158404247
1402,ALCANENA,12809,7440,224.0,246,PPD/PSD.CDS-PP,2179.0,"31,26",2.0,Coligação,41.9158404247
1402,ALCANENA,12809,7440,224.0,246,I.C.A.,1101.0,"15,8",1.0,Grupos Cidadãos Eleitores,41.9158404247
1001,ALCOBAÇA,49425,26517,1732.0,1337,B.E.,566.0,"2,41",0.0,Partido,46.3490136571
1001,ALCOBAÇA,49425,26517,1732.0,1337,CDS-PP,4649.0,"19,83",1.0,Partido,46.3490136571
1001,ALCOBAÇA,49425,26517,1732.0,1337,P.N.R.,245.0,"1,04",0.0,Partido,46.3490136571
1001,ALCOBAÇA,49425,26517,1732.0,1337,PPD/PSD,9565.0,"40,79",3.0,Partido,46.3490136571
1001,ALCOBAÇA,49425,26517,1732.0,1337,PS,5247.0,"22,38",2.0,Partido,46.3490136571
1001,ALCOBAÇA,49425,26517,1732.0,1337,PCP-PEV,3176.0,"13,54",1.0,Coligação,46.3490136571
1502,ALCOCHETE,13837,7146,325.0,235,CDS-PP,971.0,"14,74",1.0,Partido,48.3558574836
1502,ALCOCHETE,13837,7146,325.0,235,PPD/PSD,580.0,"8,81",0.0,Partido,48.3558574836
1502,ALCOCHETE,13837,7146,325.0,235,PS,1200.0,"18,22",1.0,Partido,48.3558574836
1502,ALCOCHETE,13837,7146,325.0,235,PCP-PEV,3835.0,"58,23",5.0,Coligação,48.3558574836
1818,SERNANCELHE,6708,4700,55.0,74,PS,1899.0,"41,54",2.0,Partido,29.9344066786
1818,SERNANCELHE,6708,4700,55.0,74,PCP-PEV,16.0,"0,35",0.0,Coligação,29.9344066786
213,SERPA,13940,7774,219.0,149,B.E.,237.0,"3,2",0.0,Partido,44.2324246772
213,SERPA,13940,7774,219.0,149,PPD/PSD,389.0,"5,25",0.0,Partido,44.2324246772
213,SERPA,13940,7774,219.0,149,PS,2739.0,"36,98",3.0,Partido,44.2324246772
213,SERPA,13940,7774,219.0,149,PCP-PEV,4041.0,"54,56",4.0,Coligação,44.2324246772
509,SERTÃ,14825,9375,294.0,278,CDS-PP,384.0,"4,36",0.0,Partido,36.7622259696
509,SERTÃ,14825,9375,294.0,278,PPD/PSD,5776.0,"65,61",5.0,Partido,36.7622259696
509,SERTÃ,14825,9375,294.0,278,PS,2342.0,"26,6",2.0,Partido,36.7622259696
509,SERTÃ,14825,9375,294.0,278,PCP-PEV,141.0,"1,6",0.0,Coligação,36.7622259696
509,SERTÃ,14825,9375,294.0,278,M.I.,160.0,"1,82",0.0,Grupos Cidadãos Eleitores,36.7622259696
1511,SESIMBRA,41355,16034,778.0,726,B.E.,850.0,"5,85",0.0,Partido,61.2283883448
1511,SESIMBRA,41355,16034,778.0,726,PAN,447.0,"3,08",0.0,Partido,61.2283883448
1511,SESIMBRA,41355,16034,778.0,726,PS,3498.0,"24,07",2.0,Partido,61.2283883448
1511,SESIMBRA,41355,16034,778.0,726,PCP-PEV,6735.0,"46,35",4.0,Coligação,61.2283883448
1511,SESIMBRA,41355,16034,778.0,726,PPD/PSD.CDS-PP,1572.0,"10,82",1.0,Coligação,61.2283883448
1511,SESIMBRA,41355,16034,778.0,726,MSU,1428.0,"9,83",0.0,Grupos Cidadãos Eleitores,61.2283883448
1512,SETÚBAL,103529,39919,1850.0,1272,B.E.,2268.0,"6,16",0.0,Partido,61.4417216432
1512,SETÚBAL,103529,39919,1850.0,1272,PAN,1126.0,"3,06",0.0,Partido,61.4417216432
1512,SETÚBAL,103529,39919,1850.0,1272,PCTP/MRPP,962.0,"2,61",0.0,Partido,61.4417216432
1512,SETÚBAL,103529,39919,1850.0,1272,PS,10491.0,"28,51",4.0,Partido,61.4417216432
1512,SETÚBAL,103529,39919,1850.0,1272,PCP-PEV,16798.0,"45,65",6.0,Coligação,61.4417216432
1512,SETÚBAL,103529,39919,1850.0,1272,PPD/PSD.CDS-PP,5152.0,14,1.0,Coligação,61.4417216432
117,SEVER DO VOUGA,11734,7759,217.0,203,CDS-PP,670.0,"9,13",0.0,Partido,33.8759161411
117,SEVER DO VOUGA,11734,7759,217.0,203,PPD/PSD,2916.0,"39,73",3.0,Partido,33.8759161411
117,SEVER DO VOUGA,11734,7759,217.0,203,PS,3593.0,"48,96",4.0,Partido,33.8759161411
117,SEVER DO VOUGA,11734,7759,217.0,203,PCP-PEV,160.0,"2,18",0.0,Coligação,33.8759161411
813,SILVES,30547,15843,683.0,471,B.E.,810.0,"5,51",0.0,Partido,48.1356598029
813,SILVES,30547,15843,683.0,471,PPD/PSD,4320.0,"29,41",2.0,Partido,48.1356598029
813,SILVES,30547,15843,683.0,471,PS,4064.0,"27,67",2.0,Partido,48.1356598029
813,SILVES,30547,15843,683.0,471,PCP-PEV,5495.0,"37,41",3.0,Coligação,48.1356598029
1513,SINES,12033,6816,128.0,120,CDS-PP,94.0,"1,43",0.0,Partido,43.355771628
1513,SINES,12033,6816,128.0,120,PPD/PSD,278.0,"4,23",0.0,Partido,43.355771628
1513,SINES,12033,6816,128.0,120,PS,3541.0,"53,91",4.0,Partido,43.355771628
1513,SINES,12033,6816,128.0,120,PCP-PEV,1084.0,"16,5",1.0,Coligação,43.355771628
1513,SINES,12033,6816,128.0,120,SIM,1571.0,"23,92",2.0,Grupos Cidadãos Eleitores,43.355771628
1111,SINTRA,304080,123208,6069.0,5415,B.E.,5550.0,"4,97",0.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,P.N.R.,741.0,"0,66",0.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PAN,2380.0,"2,13",0.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PCTP/MRPP,2490.0,"2,23",0.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PND,1274.0,"1,14",0.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PS,32986.0,"29,52",4.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PTP,0.0,0,0.0,Partido,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PCP-PEV,15354.0,"13,74",1.0,Coligação,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,PPD/PSD.CDS-PP.MPT,16941.0,"15,16",2.0,Coligação,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,scma,31271.0,"27,99",4.0,Grupos Cidadãos Eleitores,59.4817153381
1111,SINTRA,304080,123208,6069.0,5415,spci,2737.0,"2,45",0.0,Grupos Cidadãos Eleitores,59.4817153381
1112,SOBRAL DE MONTE AGRAÇO,8041,4620,131.0,87,PS,1307.0,"29,69",1.0,Partido,42.5444596443
1112,SOBRAL DE MONTE AGRAÇO,8041,4620,131.0,87,PCP-PEV,2244.0,"50,98",3.0,Coligação,42.5444596443
1112,SOBRAL DE MONTE AGRAÇO,8041,4620,131.0,87,PPD/PSD.CDS-PP,851.0,"19,33",1.0,Coligação,42.5444596443
615,SOURE,18258,10700,355.0,269,PS,4203.0,"41,71",3.0,Partido,41.3955526345
615,SOURE,18258,10700,355.0,269,PCP-PEV,1064.0,"10,56",1.0,Coligação,41.3955526345
615,SOURE,18258,10700,355.0,269,PPD/PSD.CDS-PP.PPM,3970.0,"39,4",3.0,Coligação,41.3955526345
615,SOURE,18258,10700,355.0,269,MCPS,839.0,"8,33",0.0,Grupos Cidadãos Eleitores,41.3955526345
1215,SOUSEL,4369,3079,81.0,77,PPD/PSD,1425.0,"48,78",3.0,Partido,29.5262073701
1215,SOUSEL,4369,3079,81.0,77,PS,859.0,"29,41",1.0,Partido,29.5262073701
1215,SOUSEL,4369,3079,81.0,77,PCP-PEV,637.0,"21,81",1.0,Coligação,29.5262073701
616,TÁBUA,10734,6689,218.0,217,PS,3838.0,"61,37",5.0,Partido,37.6839947829
616,TÁBUA,10734,6689,218.0,217,PCP-PEV,514.0,"8,22",0.0,Coligação,37.6839947829
616,TÁBUA,10734,6689,218.0,217,PPD/PSD.CDS-PP,1902.0,"30,41",2.0,Coligação,37.6839947829
1819,TABUAÇO,6089,4246,60.0,101,PS,1894.0,"46,36",2.0,Partido,30.267695845
1819,TABUAÇO,6089,4246,60.0,101,PCP-PEV,103.0,"2,52",0.0,Coligação,30.267695845
1819,TABUAÇO,6089,4246,60.0,101,PPD/PSD.CDS-PP,2088.0,"51,11",3.0,Coligação,30.267695845
1820,TAROUCA,8027,4774,78.0,92,B.E.,188.0,"4,08",0.0,Partido,40.5257256758
1820,TAROUCA,8027,4774,78.0,92,CDS-PP,206.0,"4,47",0.0,Partido,40.5257256758
1820,TAROUCA,8027,4774,78.0,92,PPD/PSD,2438.0,"52,95",3.0,Partido,40.5257256758
1820,TAROUCA,8027,4774,78.0,92,PS,1696.0,"36,84",2.0,Partido,40.5257256758
1820,TAROUCA,8027,4774,78.0,92,PCP-PEV,76.0,"1,65",0.0,Coligação,40.5257256758
814,TAVIRA,22778,12522,552.0,312,B.E.,515.0,"4,42",0.0,Partido,45.0259021863
814,TAVIRA,22778,12522,552.0,312,PS,5760.0,"49,41",4.0,Partido,45.0259021863
814,TAVIRA,22778,12522,552.0,312,PCP-PEV,866.0,"7,43",0.0,Coligação,45.0259021863
814,TAVIRA,22778,12522,552.0,312,PPD/PSD.MPT.PPM,4517.0,"38,75",3.0,Coligação,45.0259021863
310,TERRAS DE BOURO,7821,5359,87.0,68,MPT,299.0,"5,75",0.0,Partido,31.4793504667
310,TERRAS DE BOURO,7821,5359,87.0,68,PS,2754.0,"52,92",3.0,Partido,31.4793504667
310,TERRAS DE BOURO,7821,5359,87.0,68,PCP-PEV,419.0,"8,05",0.0,Coligação,31.4793504667
310,TERRAS DE BOURO,7821,5359,87.0,68,PPD/PSD.CDS-PP,1555.0,"29,88",2.0,Coligação,31.4793504667
310,TERRAS DE BOURO,7821,5359,87.0,68,TBR2021,177.0,"3,4",0.0,Grupos Cidadãos Eleitores,31.4793504667
1418,TOMAR,37314,19886,941.0,833,B.E.,585.0,"3,23",0.0,Partido,46.7063300638
1418,TOMAR,37314,19886,941.0,833,CDS-PP,560.0,"3,09",0.0,Partido,46.7063300638
1418,TOMAR,37314,19886,941.0,833,MPT,1369.0,"7,56",0.0,Partido,46.7063300638
1418,TOMAR,37314,19886,941.0,833,PPD/PSD,5198.0,"28,7",2.0,Partido,46.7063300638
1418,TOMAR,37314,19886,941.0,833,PS,5479.0,"30,25",3.0,Partido,46.7063300638
1418,TOMAR,37314,19886,941.0,833,PCP-PEV,1827.0,"10,09",1.0,Coligação,46.7063300638
1418,TOMAR,37314,19886,941.0,833,ipt,3094.0,"17,08",1.0,Grupos Cidadãos Eleitores,46.7063300638
1821,TONDELA,29771,16296,756.0,461,CDS-PP,1572.0,"10,43",0.0,Partido,45.2621678815
1821,TONDELA,29771,16296,756.0,461,PPD/PSD,8719.0,"57,82",5.0,Partido,45.2621678815
1821,TONDELA,29771,16296,756.0,461,PS,4190.0,"27,79",2.0,Partido,45.2621678815
1821,TONDELA,29771,16296,756.0,461,PCP-PEV,598.0,"3,97",0.0,Coligação,45.2621678815
409,TORRE DE MONCORVO,9389,6203,145.0,137,PS,2533.0,"42,78",2.0,Partido,33.9333262328
409,TORRE DE MONCORVO,9389,6203,145.0,137,PCP-PEV,197.0,"3,33",0.0,Coligação,33.9333262328
409,TORRE DE MONCORVO,9389,6203,145.0,137,PPD/PSD.CDS-PP,3191.0,"53,89",3.0,Coligação,33.9333262328
1419,TORRES NOVAS,32544,17101,876.0,617,B.E.,1697.0,"10,87",1.0,Partido,47.4526794494
1419,TORRES NOVAS,32544,17101,876.0,617,CDS-PP,588.0,"3,77",0.0,Partido,47.4526794494
1419,TORRES NOVAS,32544,17101,876.0,617,PPD/PSD,2936.0,"18,81",1.0,Partido,47.4526794494
1419,TORRES NOVAS,32544,17101,876.0,617,PS,7647.0,"48,99",4.0,Partido,47.4526794494
1419,TORRES NOVAS,32544,17101,876.0,617,PCP-PEV,2740.0,"17,56",1.0,Coligação,47.4526794494
1113,TORRES VEDRAS,66871,34016,1449.0,936,B.E.,670.0,"2,12",0.0,Partido,49.1319106937
1113,TORRES VEDRAS,66871,34016,1449.0,936,P.N.R.,162.0,"0,51",0.0,Partido,49.1319106937
1113,TORRES VEDRAS,66871,34016,1449.0,936,PPD/PSD,6707.0,"21,2",2.0,Partido,49.1319106937
1113,TORRES VEDRAS,66871,34016,1449.0,936,PS,18455.0,"58,34",6.0,Partido,49.1319106937
1113,TORRES VEDRAS,66871,34016,1449.0,936,PCP-PEV,2912.0,"9,21",1.0,Coligação,49.1319106937
1113,TORRES VEDRAS,66871,34016,1449.0,936,CDS-PP.MPT.PPM,1541.0,"4,87",0.0,Coligação,49.1319106937
3105,PONTA DO SOL,9793,4956,40.0,126,B.E.,89.0,"1,86",0.0,Partido,49.3924231594
3105,PONTA DO SOL,9793,4956,40.0,126,CDS-PP,404.0,"8,43",0.0,Partido,49.3924231594
3105,PONTA DO SOL,9793,4956,40.0,126,PPD/PSD,2774.0,"57,91",4.0,Partido,49.3924231594
3105,PONTA DO SOL,9793,4956,40.0,126,PS,1020.0,"21,29",1.0,Partido,49.3924231594
3105,PONTA DO SOL,9793,4956,40.0,126,PTP,108.0,"2,25",0.0,Partido,49.3924231594
3105,PONTA DO SOL,9793,4956,40.0,126,PCP-PEV,54.0,"1,13",0.0,Coligação,49.3924231594
3105,PONTA DO SOL,9793,4956,40.0,126,mpps,341.0,"7,12",0.0,Grupos Cidadãos Eleitores,49.3924231594
1606,PONTE DA BARCA,14496,8653,173.0,166,PPD/PSD,2150.0,"25,86",2.0,Partido,40.3076710817
1606,PONTE DA BARCA,14496,8653,173.0,166,PS,4592.0,"55,23",4.0,Partido,40.3076710817
1606,PONTE DA BARCA,14496,8653,173.0,166,PCP-PEV,133.0,"1,6",0.0,Coligação,40.3076710817
1606,PONTE DA BARCA,14496,8653,173.0,166,MUDAR,1439.0,"17,31",1.0,Grupos Cidadãos Eleitores,40.3076710817
1607,PONTE DE LIMA,43104,27591,801.0,514,CDS-PP,14982.0,"57,02",5.0,Partido,35.9896993318
1607,PONTE DE LIMA,43104,27591,801.0,514,PPD/PSD,4374.0,"16,65",1.0,Partido,35.9896993318
1607,PONTE DE LIMA,43104,27591,801.0,514,PS,2560.0,"9,74",0.0,Partido,35.9896993318
1607,PONTE DE LIMA,43104,27591,801.0,514,PCP-PEV,1035.0,"3,94",0.0,Coligação,35.9896993318
1607,PONTE DE LIMA,43104,27591,801.0,514,m51,3325.0,"12,65",1.0,Grupos Cidadãos Eleitores,35.9896993318
1213,PONTE DE SOR,14893,8903,205.0,173,B.E.,332.0,"3,89",0.0,Partido,40.2202376956
1213,PONTE DE SOR,14893,8903,205.0,173,CDS-PP,330.0,"3,87",0.0,Partido,40.2202376956
1213,PONTE DE SOR,14893,8903,205.0,173,PPD/PSD,794.0,"9,31",0.0,Partido,40.2202376956
1213,PONTE DE SOR,14893,8903,205.0,173,PS,5183.0,"60,8",5.0,Partido,40.2202376956
1213,PONTE DE SOR,14893,8903,205.0,173,PCP-PEV,1886.0,"22,12",2.0,Coligação,40.2202376956
1214,PORTALEGRE,21668,12991,352.0,253,B.E.,111.0,"0,9",0.0,Partido,40.045227986
1214,PORTALEGRE,21668,12991,352.0,253,PS,3104.0,"25,06",2.0,Partido,40.045227986
1214,PORTALEGRE,21668,12991,352.0,253,PCP-PEV,2277.0,"18,38",1.0,Coligação,40.045227986
1214,PORTALEGRE,21668,12991,352.0,253,PPD/PSD.CDS-PP,1377.0,"11,12",0.0,Coligação,40.045227986
1214,PORTALEGRE,21668,12991,352.0,253,CLIP,5517.0,"44,54",4.0,Grupos Cidadãos Eleitores,40.045227986
709,PORTEL,5627,4008,62.0,57,PS,2592.0,"66,65",4.0,Partido,28.7719921806
709,PORTEL,5627,4008,62.0,57,PCP-PEV,1224.0,"31,47",1.0,Coligação,28.7719921806
709,PORTEL,5627,4008,62.0,57,CDS-PP.PPD/PSD,73.0,"1,88",0.0,Coligação,28.7719921806
811,PORTIMÃO,46478,19701,1127.0,829,B.E.,2419.0,"13,63",1.0,Partido,57.6122036232
811,PORTIMÃO,46478,19701,1127.0,829,PPD/PSD,3284.0,"18,51",1.0,Partido,57.6122036232
