INE_ID,candidate_name,party,year
101,Vítor Manuel Aguiar Gomes,B.E.,2009
101,José Carlos Esmeraldo dos Santos,CDS-PP,2009
101,Nelson Manuel Nunes Leal,PCP-PEV,2009
101,Alexandra Isabel Ferreira Abrantes,PND,2009
101,Manuel de Castro Azevedo,PPD/PSD,2009
101,Gil Nadais Resende da Fonseca,PS,2009
102,Américo Bastos Rodrigues da Silva,B.E.,2009
102,António Augusto Amaral Loureiro e Santos,CDS-PP,2009
102,Bruno Miguel Alves Bento,PCP-PEV,2009
102,João Agostinho Pinto Pereira,PPD/PSD,2009
102,Jesus Manuel Vidinha Tomás,PS,2009
103,Maria do Céu Anjos Simões H. Castelo-Branco,CDS-PP,2009
103,José Francisco Paixão Correia,PCP-PEV,2009
103,Litério Augusto Marques,PPD/PSD,2009
103,Lino Jorge Cerveira Pintado,PS,2009
104,José Maria Costa Gomes,CDS-PP,2009
104,Vítor Fernando Gomes Brandão,II,2009
104,Francisco Manuel da Cunha Gonçalves,PCP-PEV,2009
104,Manuel Artur de Almeida Miler,PPD/PSD,2009
104,José Artur Tavares Neves,PS,2009
105,Catarina Sofia Esteves Antunes Morais Gomes,B.E.,2009
105,António Manuel Brito Moreira,PCP-PEV,2009
105,Élio Manuel Delgado da Maia,PPD/PSD.CDS-PP,2009
105,José da Cruz Costa,PS,2009
106,Bruno Sérgio Gomes Soares,B.E.,2009
106,Paulo Fernando Nogueira Martel da Silva,CDS-PP,2009
106,Manuel da Rocha Vieira,PCP-PEV,2009
106,Paulo Ramalheira Teixeira,PPD/PSD,2009
106,Gonçalo Fernando da Rocha de Jesus,PS,2009
107,Carlos Alberto Silva,B.E.,2009
107,Marques Baptista,CDS-PP,2009
107,Fausto Neves,PCP-PEV,2009
107,Pinto Moreira,PPD/PSD,2009
107,José Mota,PS,2009
108,António Manuel de Figueiredo Vidal,PCP-PEV,2009
108,José Eduardo Alves Valente de Matos,PPD/PSD.CDS-PP,2009
108,Fernando Manuel Mendonça Albergaria Matos,PS,2009
109,Joaquim Manuel de Oliveira Dias,B.E.,2009
109,Manuel José Alferes Pereira,CDS-PP,2009
109,Antero de Oliveira Resende,PCP-PEV,2009
109,Alfredo Oliveira Henriques,PPD/PSD,2009
109,Alcides Alves Branco de Carvalho,PS,2009
110,José Paulo Alves Corceiro,B.E.,2009
110,Francisco Luís Pereira da Rocha,CDS-PP,2009
110,Fernando José de Jesus Marta,PCP-PEV,2009
110,José Agostinho Ribau Esteves,PPD/PSD,2009
110,José Marinho Vaz,PS,2009
111,José Cadete Joaquim,PCP-PEV,2009
111,César Borges Carvalheira,PPD/PSD,2009
111,Carlos Alberto da Costa Cabral,PS,2009
112,Ana Sofia Ribeiro Brandão,CDS-PP,2009
112,Jorge Augusto Portela Vieira,PCP-PEV,2009
112,António Maria dos Santos Sousa,PPD/PSD,2009
112,Ana Maria Farelo Mendes Silva Rebimbas,PS,2009
113,Cláudia Patrícia de Pinho Ribeiro,B.E.,2009
113,António Pinto Moreira,CDS-PP,2009
113,António Costa Alves,PCP-PEV,2009
113,Hermínio José Sobral de Loureiro Gonçalves,PPD/PSD,2009
113,Maria Helena Terra de Oliveira,PS,2009
114,Acílio Domingues Gala,CDS-PP,2009
114,Artur Pereira Ramísio,PCP-PEV,2009
114,Mário João Ferreira da Silva Oliveira,PPD/PSD,2009
114,Henrique Santiago Tomás,PS,2009
115,José David Mendes de Almeida,B.E.,2009
115,José dos Santos Cardoso Macedo,PCP-PEV,2009
115,Álvaro Manuel Reis Santos,PPD/PSD.CDS-PP,2009
115,Manuel Alves de Oliveira,PS,2009
116,Pedro da Costa Pardal,B.E.,2009
116,Dina Maria da Costa de Pinho Rocha,CDS-PP,2009
116,Jorge Manuel de Resende Cortez,PCP-PEV,2009
116,Manuel Castro de Almeida,PPD/PSD,2009
116,Pedro Nuno de Oliveira Santos,PS,2009
117,António José Cardoso de Barros,CDS-PP,2009
117,João Miguel Tavares de Almeida,IV,2009
117,António José Tavares de Bastos,PCP-PEV,2009
117,Acácio Rodrigues Barbosa,PPD/PSD,2009
117,Manuel Silva Soares,PS,2009
118,Manuel Mário Domingos,PCP-PEV,2009
118,Rui Miguel Rocha da Cruz,PPD/PSD,2009
118,Mário dos Santos Martins Júnior,X,2009
119,José Alberto Freitas Soares Pinheiro e Silva,CDS-PP,2009
119,João Pedro Tavares Martins,PCP-PEV,2009
119,José António Bastos da Silva,PPD/PSD,2009
119,Carlos Gabriel Almeida Amorim,PS,2009
201,Manuel Francisco Colaço Machado,PCP-PEV,2009
201,Carlos Miguel Maia Palma Agatão,PPD/PSD.CDS-PP,2009
201,Nelson Domingos Brito,PS,2009
202,Carlos Manuel da Palma Rosa,B.E.,2009
202,Joaquim Augusto Loureiro Mariano,PCP-PEV,2009
202,António José Messias do Rosário Sebastião,PPD/PSD,2009
202,João Manuel Luz Saleiro,PS,2009
203,João Luís Batista Penetra,PCP-PEV,2009
203,Mário Nelson da Silva Vaz Simões,PPD/PSD.CDS-PP.PPM,2009
203,Vicente Maria Mouzinho Maurício,PS,2009
204,Sílvia Maria Ramalho Timóteo Vitorino,CDS-PP,2009
204,António Pica Tereno,PCP-PEV,2009
204,Francisco Manuel Canudo Sena,PS,2009
205,João Manuel de Lemos Santos,B.E.,2009
205,Ismael António dos Santos Gomes Pimentel,CDS-PP,2009
205,Francisco da Cruz dos Santos,PCP-PEV,2009
205,José Filipe Pires dos Reis,PPD/PSD,2009
205,Jorge Pulido Valente,PS,2009
205,Dulce do Carmo Lopes Caleiro Amaral,VI,2009
206,Francisco José Caldeira Duarte,PCP-PEV,2009
206,Pedro Daniel Ferreira de Castro Figueira,PPD/PSD.CDS-PP,2009
206,José Francisco Colaço Guerreiro,PS,2009
207,João Manuel Casaca Português,PCP-PEV,2009
207,Maria da Conceição Gomes Pires,PPD/PSD,2009
207,Francisco António Galinha Orelha,PS,2009
208,Manuel Gonçalves,MPT,2009
208,Francisco António Braz Caixinha,PCP-PEV,2009
208,Flora Maria Lança Mestrinho,PPD/PSD,2009
208,Aníbal Sousa Reis Coelho da Costa,PS,2009
209,Jorge José Horta Revez,PCP-PEV,2009
209,José Diogo Morais dos Santos,PPD/PSD,2009
209,Jorge Paulo Colaço Rosa,PS,2009
209,José Carlos Raposo Rodrigues Celorico,XI,2009
210,Sílvia Perpétua Cruz Ramos,CDS-PP,2009
210,José Maria Prazeres Pós-de-Mina,PCP-PEV,2009
210,Simão Seita Janeiro,PPD/PSD,2009
210,Rui Miguel Costa Apolinário,PS,2009
211,Alberto Manuel Belo da Cunha Matos,B.E.,2009
211,Cláudio José dos Santos Percheiro,PCP-PEV,2009
211,José Francisco de Sousa Prado Santos Silva,PPD/PSD.CDS-PP,2009
211,José Alberto Candeias Guerreiro,PS,2009
212,António Custódio Coelho,PCP-PEV,2009
212,José Raul Guerreiro Mendes dos Santos,PPD/PSD,2009
212,Pedro Nuno Raposo Prazeres do Carmo,PS,2009
213,Maria Manuela Carreiro da Silva Salta,B.E.,2009
213,Catarina Salgueiro Ramos Gomes Serrano,CDS-PP,2009
213,João Manuel Rocha da Silva,PCP-PEV,2009
213,Sebastião Manuel L. Morgado Louro Rodrigues,PPD/PSD,2009
213,António José Patinho Pereira,PS,2009
214,Fernando António da Silva Servo,B.E.,2009
214,Maria Micaela Matado Rosa,CDS-PP,2009
214,Manuel Luís da Rosa Marra,PCP-PEV,2009
214,Guido João Diniz Pires,PPD/PSD,2009
214,António Francisco Cano Mendes Pinto,PS,2009
301,Nuno Miguel Franco da Costa,B.E.,2009
301,Manuel Joaquim de Sousa Pereira,CDS-PP,2009
301,José Lopes Gonçalves Barbosa,I,2009
301,Manuel Joaquim Gonçalves da Silva,PCP-PEV,2009
301,António Januário Veloso de Barros,PPD/PSD,2009
301,Manuel da Rocha Moreira,PS,2009
302,Luís Maria Gonçalves dos Santos,B.E.,2009
302,António Jorge da Silva Ribeiro,CDS-PP,2009
302,Mário Jorge Gomes de Figueiredo,PCP-PEV,2009
302,Jorge Manuel Mesquita Fernandes,PND,2009
302,Fernando Ribeiro dos reis,PPD/PSD,2009
302,Alfredo Maria Côrte-Real Souto Neves,PPM,2009
302,Miguel Jorge da Costa Gomes,PS,2009
303,João Guilherme Ribeiro Delgado,B.E.,2009
303,José Miguel Azevedo de Brito,MPT,2009
303,António Manuel Rodrigues Dias,PCP-PEV,2009
303,Ricardo Bruno Antunes Machado Rio,PPD/PSD.CDS-PP.PPM,2009
303,Francisco Soares Mesquita Machado,PS,2009
304,Baltazar Lage de Oliveira Vilela,PCP-PEV,2009
304,Luis Miguel Jorge Gonçalves,PPD/PSD.CDS-PP,2009
304,Joaquim Barroso de Almeida Barreto,PS,2009
305,João Maria Mourão Pulido de Almeida,CDS-PP,2009
305,Luis Heitor da Silva Pires Marinho,PCP-PEV,2009
305,Joaquim Monteiro da Mota e Silva,PPD/PSD,2009
