INE_ID,name,party
101,Nelson Manuel Nunes Leal,PCP-PEV
101,Maria Paula da Graça Cardoso,PPD/PSD.CDS-PP
101,Gil Nadais Resende da Fonseca,PS
102,Rui Manuel Pinto Chagas Câncio Ferreira,B.E.
102,António Augusto Amaral Loureiro e Santos,CDS-PP
102,Bruno Miguel Alves Bento,PCP-PEV
102,José Licínio Tavares Pimenta,PPD/PSD
102,Elísio Apolinário Simões da Silva,PS
103,João Tiago Castelo Branco Charuca de Azevedo,CDS-PP
103,Maria Teresa Belém Correia Cardoso,III
103,Maria de Fátima Gomes Martins da Costa Henriques Flores,PCP-PEV
103,José Manuel Ferreira Nunes Ribeiro,PPD/PSD
103,Lino Jorge Cerveira Pintado,PS
104,Adriano de Jesus Brandão,CDS-PP
104,Francisco Manuel da Cunha Gonçalves,PCP-PEV
104,José Luís Alves da Silva,PPD/PSD
104,José Artur Tavares Neves,PS
105,Nelson Ricardo Esteves Peralta,B.E.
105,Élio Manuel Delgado da Maia,IX
105,Miguel Lopes Batista Viegas,PCP-PEV
105,Luís Fernando Ferreira Monteiro Rebocho,PCTP/MRPP
105,Vitor Manuel Duarte Ferreira Ramalho,PNR
105,José Agostinho Ribau Esteves,PPD/PSD.CDS-PP.PPM
105,Eduardo Elísio Silva Peralta Feio,PS
106,Abílio Augusto Carrazedo Guerra,B.E.
106,Paulo Fernando Nogueira Martel da Silva,CDS-PP
106,Manuel da Rocha Vieira,PCP-PEV
106,Norberto dos Santos Rodrigues Moreira,PPD/PSD
106,Gonçalo Fernando da Rocha de Jesus,PS
107,António Manuel de Sousa Andrade,B.E.
107,Diogo Silva Pardilhó Duarte de Campos,CDS-PP
107,Fausto Manuel da Silva Neves,PCP-PEV
107,Joaquim José Pinto Moreira,PPD/PSD
107,José Barbosa da Mota,PS
108,José Artur Pereira de Pinho,I
108,Américo Rodrigues Soares,PCP-PEV
108,Diamantino Manuel Sabina,PPD/PSD.CDS-PP
108,Fernando Manuel Mendonça Albergaria Matos,PS
109,António Manuel Mendes Torres,B.E.
109,Manuel José Alferes Pereira,CDS-PP
109,Antero de Oliveira Resende,PCP-PEV
109,Emídio Ferreira dos Santos Sousa,PPD/PSD
109,Eduardo Marques dos Santos Cavaco,PS
110,Pedro Miguel de Pinho Tavares,B.E.
110,Armindo Valente Domingues Prina,CDS-PP
110,João da Cruz Coquim,PCP-PEV
110,Fernando Fidalgo Caçoilo,PPD/PSD
110,José Marinho Vaz,PS
111,Ricardo Sequeiros Coelho,B.E.
111,João Manuel Lima Louceiro,PCP-PEV
111,Gonçalo Nuno Vigária Santos Louzada,PPD/PSD.CDS-PP.MPT.PPM
111,Rui Manuel Leal Marqueiro,PS
112,Eduardo Nunes Marques,CDS-PP
112,Jorge Augusto Portela Vieira,PCP-PEV
112,Joaquim Manuel dos Santos Baptista,PPD/PSD
112,António Jorge Feio Bacelar Vilar,PS
113,Diogo André Silva Barbosa,B.E.
113,Miguel Angelo de Carvalho Santos Portela,CDS-PP
113,João Miguel Tavares Carmo,PCP-PEV
113,Hermínio José Sobral de Loureiro Gonçalves,PPD/PSD
113,Joaquim Jorge Ferreira,PS
114,Paulo Jorge Caiado Santos,CDS-PP
114,Artur Pereira Ramísio,PCP-PEV
114,Mário João Ferreira da Silva Oliveira,PPD/PSD
114,Manuel Ferreira Bôrras,PS
115,Pedro Miguel Moreira Rodrigues,B.E.
115,António Manuel França de Jesus,CDS-PP
115,Dinis de Pinho Silveira,PCP-PEV
115,Salvador Malheiro Ferreira da Silva,PPD/PSD
115,Vítor Manuel Gouveia Ferreira,PS
116,André Pereira de Oliveira,B.E.
116,Rogério Soares Leite da Silva,CDS-PP
116,Jorge Manuel dos Santos Lima,I
116,Rita Susana Bastos de Oliveira Mendes,PCP-PEV
116,Ricardo Nicolau Soares Terra de Oliveira Figueiredo,PPD/PSD
116,Luís Miguel dos Santos Ferreira,PS
117,Ercília Maria Marques da Silva Pedro,CDS-PP
117,Raul Nogueira Tavares,PCP-PEV
117,João Miguel Tavares Almeida,PPD/PSD
117,António José Martins Coutinho,PS
118,Maria do Céu Pereira Sarabando Marques,CDS-PP
118,Alexandre Claro Loff,PCP-PEV
118,Silvério Rodrigues Regalado,PPD/PSD
118,Mário dos Santos Martins Júnior,PS
119,José Alberto Freitas Soares Pinheiro e Silva,CDS-PP
119,José Agostinho Gaspar Ferreira,PCP-PEV
119,José António Bastos da Silva,PPD/PSD
119,Nelson da Silva Martins,PS
201,Manuel Francisco Colaço Camacho,PCP-PEV
201,António Miguel Delgado Revez Batista,PPD/PSD.CDS-PP
201,Nelson Domingos Brito,PS
202,Constantino Manuel Lemos Piçarra,B.E.
202,Joaquim Agostinho Lança Paulino,PCP-PEV
202,Ricardo António Monteiro Colaço,PPD/PSD
202,António Manuel Ascensão Mestre Bota,PS
202,João António Rodrigues Palma,VI
203,António João Feio Valério,PCP-PEV
203,Manuel Maria Feio Barroso,PPD/PSD.CDS-PP
203,Natália José Ferreira Caeiro,PS
204,António Pica Tereno,PCP-PEV
204,Fernando Manuel Fernandes Durão,PS
205,João Manuel Rocha da Silva,PCP-PEV
205,João Pedro Cabral Afonso Baião Caeiro,PPD/PSD.CDS-PP
205,Jorge Pulido Valente,PS
205,José António do Rosário Lopes Guerreiro,XVI
206,Francisco José Caldeira Duarte,PCP-PEV
206,Mário Mota Lopes,PPD/PSD.CDS-PP
206,António José Rosa de Brito,PS
207,João Manuel Casaca Português,PCP-PEV
207,Vasco Rosa da Silva Morais de Almeida,PPD/PSD.CDS-PP
207,Ana Raquel Ganhão das Dores Soudo,PS
208,João Luis Ferro do Rosário Fragoso,PCP-PEV
208,Jorge Ângelo Ramos dos Santos,PPD/PSD.CDS-PP
208,Aníbal Sousa Reis Coelho de Costa,PS
209,Miguel da Conceição Bento,PCP-PEV
209,Herlander Miguel Gonçalves Madeira Mira,PPD/PSD.CDS-PP
209,Jorge Paulo Colaço Rosa,PS
209,Alberto Manuel Raposo Fernandes,XI
210,Santiago Augusto Ferreira Macias,PCP-PEV
210,Carlos Augusto Garcias Valente,PPD/PSD.CDS-PP
210,Francisco Manuel Canudo Sena,PS
211,Ana Maria de Miranda Nazaré Loureiro,B.E.
211,Manuel da Silva Cruz,PCP-PEV
211,José Francisco de Sousa Prado dos Santos Silva,PPD/PSD.CDS-PP
211,José Alberto Candeias Guerreiro,PS
212,António Francisco Colaço,PCP-PEV
212,Sérgio Manuel Borges Dinis Marques Marçal,PPD/PSD.CDS-PP
212,Pedro Nuno Raposo Prazeres do Carmo,PS
213,Guida Maria de Jesus Ascensão,B.E.
213,Tomé Alexandre Martins Pires,PCP-PEV
213,José António Aboim Madeira,PPD/PSD
213,Noel Ricardo Esteves Farinho,PS
214,Manuel Luís da Rosa Narra,PCP-PEV
214,José Manuel Cruz Maldonado,PPD/PSD.CDS-PP
214,José Miguel Pires D'Almeida,PS
301,Sara Raquel Marques Ribeiro Leite do Vale,I
301,Luís Manuel Cerqueira Gomes Gonçalves,PCP-PEV
301,Isidro Gomes de Araújo,PPD/PSD.CDS-PP
301,Manuel da Rocha Moreira,PS
302,José Maria Barbosa Cardoso,B.E.
302,Mário Jorge Gomes de Figueiredo,PCP-PEV
302,Mário Rui Correia Senra,PCTP/MRPP
302,Domingos José da Silva Araújo,PPD/PSD.CDS-PP.PPM
302,Miguel Jorge da Costa Gomes,PS
302,Manuel Carlos da Costa Marinho,VI
303,Alberto Carlos Carvalho de Almeida,PCP-PEV
303,Luís Filipe Barata e Lima,PCTP/MRPP
303,Ricardo Bruno Antunes Machado Rio,PPD/PSD.CDS-PP.PPM
303,Vítor Manuel Amaral de Sousa,PS
303,Inês Beatriz Barbosa de Carvalho,V
304,Manuel da Silva Nogueira,PCP-PEV
304,Mário António Jesus Leite,PPD/PSD.CDS-PP
