Dicofr,Ref_municipio_ine,Distrito,Concelho,Freguesia,Orgao,Inscritos,Votantes,Validos,Brancos,Nulos,Votos,Sigla,M
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,5775,B.E.,0
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,3426,VII,2
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,129465,PS,49
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,4916,PPD/PSD.CDS-PP.PPM,2
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,142782,PPD/PSD,64
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,427,PND,0
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,33193,PPD/PSD.CDS-PP,13
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,25325,CDS-PP,9
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,1677,I,0
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,512,XIX,0
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,14237,PCP-PEV,0
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,8609,B.E.,4
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,712,XIX,0
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,2829,VII,4
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,129814,PS,145
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,33079,PPD/PSD.CDS-PP,38
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,26394,CDS-PP,35
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,219,I,0
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,17110,PCP-PEV,13
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,135505,PPD/PSD,170
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,5246,PPD/PSD.CDS-PP.PPM,8
