DICOFR ,Ref_Municipio_INE,Concelho,Freguesia,Orgao,Inscritos,Votantes,Brancos,Nulos,Sigla,Votos,Percentagem,M,Tipo,dsc_municipio
140104,1401,ABRANTES,BEMPOSTA,AF,1710,1082,23,50,PPD/PSD,187,"18,53",2,Partido,ABRANTES
140104,1401,ABRANTES,BEMPOSTA,AF,1710,1082,23,50,PS,454,45,4,Partido,ABRANTES
140104,1401,ABRANTES,BEMPOSTA,AF,1710,1082,23,50,PCP-PEV,183,"18,14",1,Coligação,ABRANTES
140104,1401,ABRANTES,BEMPOSTA,AF,1710,1082,23,50,ipb,185,"18,33",2,Grupos Cidadãos Eleitores,ABRANTES
140119,1401,ABRANTES,CARVALHAL,AF,768,461,22,15,CDS-PP,102,"24,06",1,Partido,ABRANTES
140119,1401,ABRANTES,CARVALHAL,AF,768,461,22,15,PS,322,"75,94",6,Partido,ABRANTES
140118,1401,ABRANTES,FONTES,AF,612,372,14,16,CDS-PP,56,"16,37",1,Partido,ABRANTES
140118,1401,ABRANTES,FONTES,AF,612,372,14,16,PS,286,"83,63",6,Partido,ABRANTES
140105,1401,ABRANTES,MARTINCHEL,AF,634,410,12,14,CDS-PP,46,"11,98",1,Partido,ABRANTES
140105,1401,ABRANTES,MARTINCHEL,AF,634,410,12,14,PPD/PSD,158,"41,15",3,Partido,ABRANTES
140105,1401,ABRANTES,MARTINCHEL,AF,634,410,12,14,PS,180,"46,88",3,Partido,ABRANTES
140106,1401,ABRANTES,MOURISCAS,AF,1553,997,26,27,CDS-PP,80,"8,47",0,Partido,ABRANTES
140106,1401,ABRANTES,MOURISCAS,AF,1553,997,26,27,PS,331,"35,06",3,Partido,ABRANTES
140106,1401,ABRANTES,MOURISCAS,AF,1553,997,26,27,PCP-PEV,337,"35,7",4,Coligação,ABRANTES
140106,1401,ABRANTES,MOURISCAS,AF,1553,997,26,27,AGIMOS,196,"20,76",2,Grupos Cidadãos Eleitores,ABRANTES
140107,1401,ABRANTES,PEGO,AF,2191,1053,52,27,B.E.,181,"18,58",2,Partido,ABRANTES
140107,1401,ABRANTES,PEGO,AF,2191,1053,52,27,CDS-PP,54,"5,54",0,Partido,ABRANTES
140107,1401,ABRANTES,PEGO,AF,2191,1053,52,27,PS,573,"58,83",6,Partido,ABRANTES
140107,1401,ABRANTES,PEGO,AF,2191,1053,52,27,PCP-PEV,166,"17,04",1,Coligação,ABRANTES
140108,1401,ABRANTES,RIO DE MOINHOS,AF,1156,605,14,21,CDS-PP,25,"4,39",0,Partido,ABRANTES
140108,1401,ABRANTES,RIO DE MOINHOS,AF,1156,605,14,21,PPD/PSD,256,"44,91",4,Partido,ABRANTES
140108,1401,ABRANTES,RIO DE MOINHOS,AF,1156,605,14,21,PS,230,"40,35",4,Partido,ABRANTES
140108,1401,ABRANTES,RIO DE MOINHOS,AF,1156,605,14,21,PCP-PEV,59,"10,35",1,Coligação,ABRANTES
140115,1401,ABRANTES,TRAMAGAL,AF,3094,1712,47,34,CDS-PP,47,"2,88",0,Partido,ABRANTES
140115,1401,ABRANTES,TRAMAGAL,AF,3094,1712,47,34,PPD/PSD,475,"29,12",3,Partido,ABRANTES
140115,1401,ABRANTES,TRAMAGAL,AF,3094,1712,47,34,PS,877,"53,77",5,Partido,ABRANTES
